# Measurements: 2016-09-15T21:44:45.591
# size	time(nanoseconds)	test
10000	0	2720
20000	15625000	4115
30000	15625000	5213
40000	15625000	6069
50000	0	6909
60000	15625000	7581
70000	15625000	8257
80000	15625000	8830
90000	15625000	9461
100000	15625000	9877
110000	15625000	10312
120000	31250000	10685
130000	31250000	11192
140000	31250000	11535
150000	31250000	11960
160000	15625000	12223
170000	31250000	12636
180000	31250000	12972
190000	15625000	13200
200000	31250000	13535
210000	31250000	13831
220000	31250000	14232
230000	31250000	14331
240000	31250000	14590
250000	46875000	14815
260000	31250000	15155
270000	31250000	15346
280000	31250000	15449
290000	46875000	15811
300000	31250000	16023
310000	46875000	16301
320000	31250000	16445
330000	46875000	16700
340000	46875000	16755
350000	31250000	16995
360000	46875000	17028
370000	46875000	17305
380000	62500000	17536
390000	46875000	17735
400000	62500000	17817
